page_number,page_type,section_number,section_title,content_length,is_continuation,document_name
4,content,7.,,0,True,"Biological Diversity Act, 2002"
8,content,3,", intending to undertake any activity covered under section 7, shall",1,False,"Biological Diversity Act, 2002"
11,content,40.,,0,False,"Biological Diversity Act, 2002"
12,form,44.,,0,False,"Biological Diversity Act, 2002"
12,form,45.,,0,False,"Biological Diversity Act, 2002"
13,content,46.,,0,False,"Biological Diversity Act, 2002"
13,content,7,contravenes or attempts to contravene or abets the contravention of the,0,False,"Biological Diversity Act, 2002"
14,content,58.,,0,True,"Biological Diversity Act, 2002"
14,content,3,"of the National Green Tribunal Act, 2010.",0,True,"Biological Diversity Act, 2002"
15,content,20,";"";",0,False,"Biological Diversity Act, 2002"
15,content,55A,;,0,False,"Biological Diversity Act, 2002"
